"Number","Specific Category","Sign","General Category","Description"
1,"split_factor",1,"split_factor","Split factor"
2,"un+",1,"un_p","Dollars per Unit"
3,"un-",1,"un_n","SUBTRACTIONS - dollars per unit"
4,"liq1+",1,"liq","Cash and cash equivalents"
5,"liq1-",-1,"liq","SUBTRACT - cash and cash equivalents"
6,"liq2+",1,"liq","Marketable Securities"
7,"liq2-",-1,"liq","SUBTRACT - marketable securities"
8,"liq3+",1,"liq","Pension Assets"
9,"liq3-",-1,"liq","SUBTRACT - pension assets"
10,"liq4+",1,"liq","Postretirement Plan Assets"
11,"liq4-",-1,"liq","SUBTRACT - postretirement plan assets"
12,"liq5+",1,"liq","Other Important Assets"
13,"liq5-",-1,"liq","SUBTRACT - other important assets"
14,"liab1+",1,"liab","Current Liabilities"
15,"liab1-",-1,"liab","SUBTRACT - current liabilties"
16,"liab2+",1,"liab","Long-term Liabilities"
17,"liab2-",-1,"liab","SUBTRACT - long-term liabilities"
18,"liab3+",1,"liab","Commitments/Contingencies"
19,"liab3-",-1,"liab","SUBTRACT - commitments/contingencies"
20,"liab4+",1,"liab","Pension Obligation"
21,"liab4-",-1,"liab","SUBTRACT - pension obligation"
22,"liab5+",1,"liab","Postretirement Benefit Obligation"
23,"liab5-",-1,"liab","SUBTRACT - postretirement benefit obligation"
24,"liabc",1,"liabc","Convertible Liabilities"
25,"sh-unc",1,"shares","Unclassified Shares"
26,"sh-a",1,"shares","Class A Shares"
27,"sh-b",1,"shares","Class B Shares"
28,"sh-oth",1,"shares","Other Classes of Common Shares"
29,"op-unc",1,"shares","Options on Unclassified Shares"
30,"op-a",1,"shares","Options on Class A Shares"
31,"op-b",1,"shares","Options on Class B Shares"
32,"op-oth",1,"shares","Options on Other Classes of Common Shares"
33,"dil-unc",1,"shares","other possible unclassified shares"
34,"dil-a",1,"shares","other possible class A shares"
35,"dil-b",1,"shares","other possible class B shares"
36,"dil-oth",1,"shares","other possible shares of other classes"
37,"tr",-1,"shares","treasury shares"
38,"sh-unc-con",1,"shares","convertible unclassified shares"
39,"sh-a-con",1,"sharesc","convertible A shares"
40,"sh-b-con",1,"sharesc","convertible B shares"
41,"sh-oth-con",1,"sharesc","convertibles of other classes of common shares"
42,"nrev+",1,"rev","net revenues"
43,"nrev-",-1,"rev","SUBTRACT - net revenues"
44,"dep+",1,"adj","depreciation/amortization"
45,"dep-",-1,"adj","SUBTRACT - depreciation/amortization"
46,"adj1+",1,"adj","adjustment for changes in accounts receivable"
47,"adj1-",-1,"adj","SUBTRACT - adjustment for changes in accounts receivable"
48,"adj2+",1,"adj","adjustment for changes in inventory"
49,"adj2-",-1,"adj","SUBTRACT - adjustment for changes in inventory"
50,"adj3+",1,"adj","adjustment for changes in prepaid expenses"
51,"adj3-",-1,"adj","SUBTRACT - adjustment for changes in prepaid expenses"
52,"adj4+",1,"adj","adjustment for changes in other current assets"
53,"adj4-",-1,"adj","SUBTRACT - adjustment for changes in other current assets"
54,"adj5+",1,"adj","other adjustments to cash flow"
55,"adj5-",-1,"adj","SUBTRACT - other adjustments to cash flow"
56,"cogs+",1,"exp","cost of goods sold"
57,"cogs-",-1,"exp","SUBTRACT - cost of goods sold"
58,"sga+",1,"exp","selling/general/administrative expenses"
59,"sga-",-1,"exp","SUBTRACT - selling/general/administrative expenses"
60,"othco1+",1,"exp","other costs"
61,"othco1-",-1,"exp","SUBTRACT - other costs"
62,"othco2+",1,"exp","other contingency/commitment costs"
63,"othco2-",-1,"exp","SUBTRACT - other contingency/commitment costs"
64,"ppec+",1,"ppec","plant/property/equipment at cost"
65,"ppec-",-1,"ppec","SUBTRACT - plant/property/equipment at cost"
66,"tax1",1,"tax_rate","federal income tax rate"
67,"tax2",1,"tax_rate","state income tax rate"
68,"tax3",1,"tax_rate","other income taxes"
69,"pt_earn",1,"pt_earn","pre-tax earnings"
70,"stat1",1,"stat_tax","statutory federal income taxes (excludes special credits and debits)"
71,"stat2",1,"stat_tax","statutory state income taxes (excludes special credits and debits)"
72,"stat3",1,"stat_tax","statutory other income taxes (excludes special credits and debits)"
73,"aud_name",0,"aud_name","name of auditing company"
74,"aud_rating",0,"aud_rating","audit rating"
